,,Terajoules (TJ),,,Solar Energy,,,,Bioenergy,,,,,,,,,,,,,,,,,ID,ISO3,Year,ID,Flow,Product,Unit,Sum of Values,,,,IRENA code,Sum of Values,,,Indicator,,,,Level 1,,,,IRENA code,Sum of Values
,,Transmission and distribution losses,,,,,,,0,0,0,0,0,0,-4497.460417379509,0,-4497.460417379509,1.5853428563238827,,0.0,,320.0,,,,AFG253192023119,AFG,2023,119,Domestic supply,25319,TJ,0.472,,,,13900,,,,,,,,,,,,13900,
,,Total Final Energy Consumption (TFEC),,,,,,,,0.472,,12477.26592,,4973.8612,15620.577090978277,,33072.17621097827,,,,,400.0,,,,AFG253192023400,AFG,2023,400,Total final consumption,25319,TJ,0.472,,,,20000,,,,,,,,,,,,20000,
,,Industry,,,,,,,0,0,,0,,,2513.8054902735244,,2513.8054902735244,,,,,420.0,,,,AFG253192023460,AFG,2023,460,Residential,25319,TJ,0.472,,,,21000,,,,,,,,,,,,21000,
,,Transport,,,,,,,0,0,,0,,,,,0,,,,,440.0,,,,AFG700002023111,AFG,2023,111,Production,70000,GWH,1073.287,,,,21001,,,,,,,,,,,,21001,
,,Commercial and Public Services,,,,,,,0,0,,0,,,3481.615960683769,,3481.615960683769,,,,,450.0,,,,AFG700002023112,AFG,2023,112,Imports,70000,GWH,5664,,,,21100,772.98,,,,,,,,,,,21100,
,,Residential,,,,,,,0,0.472,,12477.26592,,4973.8612,9590.720234709263,,27042.31935470926,,,,,460.0,,,,AFG700002023119,AFG,2023,119,Domestic supply,70000,GWH,6737.287,,,,21400,,,,,,,,,,,,21400,
,,Other,,,,,,,0,0,,0,,,34.43540531171998,,34.43540531171998,,,,,490.0,,,,AFG700002023320,AFG,2023,320,Distribution losses,70000,GWH,1506.145,,,,21500,,,,,,,,,,,,21500,
,,,,,,,,,,,,,,,,,,,,,,,,,,AFG700002023400,AFG,2023,400,Total final consumption,70000,GWH,5231.142,,,,22000,,,,,,,,,,,,22000,
,,Other metrics,,,,,,,,,,,,,,,,,,,,,,,,AFG700002023420,AFG,2023,420,Industry sector,70000,GWH,841.843,,,,23000,,,,,,,,,,,,23000,
,,TFEC by end-use carrier,13562.863721796686,2.1581829255362264,2055.555186256053,,,,,0.472,,12477.26592,,4973.8612,,,33072.17621097827,,,,,,,,,AFG700002023450,AFG,2023,450,Commercial and public services,70000,GWH,1165.951,,,,23100,0.123,,,,,,,,,,,23100,
,,Electricity,13562.863721796686,2.1581829255362264,2055.555186256053,0,0,0,0,0,0,0,0,0,,,15620.577090978275,,,,,,,,,AFG700002023460,AFG,2023,460,Residential,70000,GWH,3211.816,,,,23200,,,,,,,,,,,,23200,
,,Commercial heat,,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,AFG700002023490,AFG,2023,490,Other,70000,GWH,11.532,,,,23900,,,,,,,,,,,,23900,
,,Direct use (see TFEC sectors),,,,,,,,0.472,,12477.26592,,4973.8612,,,17451.59912,,,,,,,,,Grand Total,,,,,,,6197801.391,,,,24000,,,,,,,,,,,,24000,
,,Gross electricity generation (GWh),772.98,0.123,117.15100000000001,0,0,0,0,0,0,0,0,0,,,890.2540000000001,,,,,,,,,,,,,,,,,,,,24100,,,,,,,,,,,,24100,
,,Efficiency (%),1,1,1,0,0,0,0,0,0,0,0,0,,,1.0000000000000002,,,,,,,,,,,,,,,,,,,,24110,77.98,,,,,,,,,,,24110,
,,Share of renewable total (%),0.8682690557975588,0.00013816281645462978,0.13159278138598646,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,24111,,,,,,,,,,,,24111,
,,Commercial heat (TJ),,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,24112,,,,,,,,,,,,24112,
,,Efficiency (%),,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,24113,,,,,,,,,,,,24113,
,,Share of renewable total (%),,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,24120,39.171,,,,,,,,,,,24120,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24121,,,,,,,,,,,,24121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24122,,,,,,,,,,,,24122,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24123,,,,,,,,,,,,24123,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24124,,,,,,,,,,,,24124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24125,,,,,,,,,,,,24125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24126,,,,,,,,,,,,24126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24129,,,,,,,,,,,,24129,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24200,,,,,,,,,,,,24200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24210,,,,,,,,,,,,24210,
,,,hydro,wind,solar pv,solar therm,geo,other RE,bioliq,biogas,re waste,biomass,briq,charcoal,elec,heat,,,,,,,,,,,,,,,,,,,,,24220,,,,,,,,,,,,24220,
,,,21100,23100,24110,24200,26000,29000,25221,25320,25110,25121,25150,25160,70000,80000,,,,,,,,,,,,,,,,,,,,,24221,,,,,,,,,,,,24221,
,,,21400,23200,24120,,,,25222,25311,,25122,,,,,,,,,,,,,,,,,,,,,,,,,24222,,,,,,,,,,,,24222,
,,,22000,,,24210,,,25211,25312,,25123,,,,,,,,,,,,,,,,,,,,,,,,,24229,,,,,,,,,,,,24229,
,,,21500,,,,,,25212,25319,,25124,,,,,,,,,,,,,,,,,,,,,,,,,24900,,,,,,,,,,,,24900,
,,,,,,,,,25230,25390,,25125,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,25000,
,,,,,,,,,25290,,,25126,,,,,,,,,,,,,,,,,,,,,,,,,25100,,,,,,,,,,,,25100,
,,,,,,,,,25299,,,25127,,,,,,,,,,,,,,,,,,,,,,,,,25110,,,,,,,,,,,,25110,
,,,,,,,,,,,,25128,,,,,,,,,,,,,,,,,,,,,,,,,25120,,,,,,,,,,,,25120,
,,,,,,,,,,,,25129,,,,,,,,,,,,,,,,,,,,,,,,,25121,,,,,,,,,,,,25121,
,,,,,,,,,,,,25130,,,,,,,,,,,,,,,,,,,,,,,,,25122,,,,,,,,,,,,25122,
,,,,,,,,,,,,25149,,,,,,,,,,,,,,,,,,,,,,,,,25123,,,,,,,,,,,,25123,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25124,,,,,,,,,,,,25124,
,,,,,,,,,,,in TJ,,,,,,,,,,,,,,,,,,,,,,,,,,25125,,,,,,,,,,,,25125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25126,,,,,,,,,,,,25126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25127,,,,,,,,,,,,25127,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25128,,,,,,,,,,,,25128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25129,,,,,,,,,,,,25129,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25130,,,,,,,,,,,,25130,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25149,,,,,,,,,,,,25149,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25150,,,,,,,,,,,,25150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25160,,,,,,,,,,,,25160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25200,,,,,,,,,,,,25200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25210,,,,,,,,,,,,25210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25211,,,,,,,,,,,,25211,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25212,,,,,,,,,,,,25212,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25220,,,,,,,,,,,,25220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25221,,,,,,,,,,,,25221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25222,,,,,,,,,,,,25222,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25230,,,,,,,,,,,,25230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25290,,,,,,,,,,,,25290,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25291,,,,,,,,,,,,25291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25299,,,,,,,,,,,,25299,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25300,,,,,,,,,,,,25300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25311,,,,,,,,,,,,25311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25312,,,,,,,,,,,,25312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25319,,,,,,,,,,,,25319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25320,,,,,,,,,,,,25320,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25390,,,,,,,,,,,,25390,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25900,,,,,,,,,,,,25900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,26000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26100,,,,,,,,,,,,26100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200,,,,,,,,,,,,26200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26300,,,,,,,,,,,,26300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26900,,,,,,,,,,,,26900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000,,,,,,,,,,,,27000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000,,,,,,,,,,,,29000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100,,,,,,,,,,,,29100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29200,,,,,,,,,,,,29200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300,,,,,,,,,,,,29300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,29900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,70000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000,,,,,,,,,,,,71000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,,,,,,,,,,,,72000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,80000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81000,,,,,,,,,,,,81000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82000,,,,,,,,,,,,82000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,,,,,,,,,,,,90000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,1073.2869999999998,,,,,,,,,,,Grand Total,
