Region,CAGR,Latest_Capacity,Average_Capacity,Growth_Multiple,Cluster
Asia,11.023908451767994,2057556.386,700042.8825,11.081020971637537,0
Oceania,10.248266819294983,59770.562,24682.890333333333,9.430847622792363,1
Europe,6.082626554426551,790918.498,411629.9710833333,3.888822086474524,2
Africa,4.939216482690445,65164.342,33783.72645833333,3.030887363386018,1
Americas,4.626956087778344,822115.099,459030.5604166666,2.8301052251733365,2
